symbol,yahoo_ticker,market_cap,isin,name,market,icb_industry,icb_supersector,icb_sector,icb_subsector
TRACT,TRACT.PA,217883968.0,FR001400BMH7,TERACT,XPAR,"40, Consumer Discretionary","4040, Retail","404010, Retailers","40401010, Diversified Retailers"
CRI,CRI.PA,207473808.0,FR0000130692,CIECHARGEURSINVEST,XPAR,"50, Industrials","5020, Industrial Goods and Services","502030, General Industrials","50203000, Diversified Industrials"
EXE,EXE.PA,206832240.0,FR0004527638,EXEL INDUSTRIES,XPAR,"50, Industrials","5020, Industrial Goods and Services","502040, Industrial Engineering","50204010, Machinery: Agricultural"
LIN,LIN.PA,204541472.0,FR0004156297,LINEDATA SERVICES,XPAR,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
BLC,BLC.PA,194449936.0,FR0000035370,BASTIDE LE CONFORT,XPAR,"20, Health Care","2010, Health Care","201010, Health Care Providers","20101025, Health Care Services"
LAT,LAT.PA,192105664.0,FR001400JY13,LATECOERE,XPAR,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201010, Aerospace"
AKW,AKW.PA,191118208.0,FR0000053027,AKWEL,XPAR,"40, Consumer Discretionary","4010, Automobiles and Parts","401010, Automobiles and Parts","40101025, Auto Parts"
FDE,FDE.PA,189024352.0,FR0013030152,FRANCAISE ENERGIE,XPAR,"65, Utilities","6510, Utilities","651010, Electricity","65101010, Alternative Electricity"
ALMDT,ALMDT.PA,187667472.0,FR0011049824,MEDIANTECHNOLOGIES,ALXP,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software"
ALEXA,ALEXA.PA,185562720.0,FR0000064164,EXACOMPTA CLAIREF.,ALXP,"55, Basic Materials","5510, Basic Resources","551010, Industrial Materials","55101015, Paper"
CVX,CVX.PA,183526192.0,FR0013333077,CARVOLIX,XPAR,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102010, Medical Equipment"
ALCPB,ALCPB.PA,182430320.0,FR0011053636,CAPITAL B,ALXP,"40, Consumer Discretionary","4030, Média","403010, Média","40301020, Media Agencies"
SFPI,SFPI.PA,181183680.0,FR0004155000,GROUPE SFPI,XPAR,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101035, Building Materials: Other"
ALLHB,ALLHB.PA,180307568.0,FR0007080254,LES HOTELS BAVEREZ,ALXP,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501025, Hotels and Motels"
ALLAN,ALLAN.PA,177710720.0,FR0004027068,LANSON-BCC,ALXP,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451010, Beverages","45101015, Distillers and Vintners"
PARP,PARP.PA,173152944.0,FR0012612646,GROUPE PARTOUCHE,XPAR,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501020, Casinos and Gambling"
ATLD,ATLD.PA,172091568.0,FR0013455482,ATLAND,XPAR,"35, Real Estate","3510, Real Estate","351010, Real Estate Investment and Services","35101010, Real Estate Holding and Development"
ALTPC,ALTPC.PA,171038752.0,FR0004016699,SMTPC,ALXP,"50, Industrials","5020, Industrial Goods and Services","502060, Industrial Transportation","50206060, Transportation Services"
